宅的表现是不出门。	宅
冷笑话可能不好笑。	冷
告白成功可能会笑。	笑
狗的特点是忠心。	狗
冷可能导致感冒。	冷
胖可能因为懒惰。	胖
猫可能会撒娇。	猫
叫的表现是有声音。	叫
饿可能因为没吃饭。	饿
渴可能因为没喝水。	渴
冷的表现是温度低。	冷
晕可能因为缺氧。	晕
饿表现为肚子咕咕叫。	饿
吐可能因为肠胃发炎。	吐
吐可能因为肠胃炎。	吐
笑可能因为被呵痒。	笑
吐可能因为觉得恶心。	吐
买东西的时候，你会付钱。	买
买东西的时候，你会刷卡。	买
买东西的时候，你会去付钱。	买
买东西的时候，你会带钱包。	买
悲伤的时候，你会哭。	哭
睡的时候，你会打呼。	睡
喝饮料的时候，你会找吸管。	喝
喝饮料的时候，你会拿吸管。	喝
喝水的时候，你会拿杯子。	喝
买东西的时候，你会拿出钱包。	买
买东西的时候，你会掏钱。	买
买东西的时候，你会杀价。	买
睡的时候，你会做梦。	睡
睡的时候，你可能会梦游。	睡
饿的时候，你会泡泡面吃。	饿
渴的时候，你会泡茶喝。	渴
笑的时候，你会露出牙齿。	笑
饿的时候，你会煮东西吃。	饿
买东西的时候，你会用到MONEY。	买
买东西的时候，你会用到钱。	买
喝饮料的时候，你会用吸管。	喝
冷的时候，你会用暖宝宝。	冷
喝粥的时候，你会用碗。	喝
买东西的时候，你会看制造日期。	买
买东西的时候，你会精打细算。	买
钱包空空是买东西造成的。	买
你会闭眼睛睡。	睡
你会闭着眼睛睡。	睡
笑的时候，你的脸上会出现鱼尾纹。	笑
中乐透的时候，你觉得很爽。	爽
中枪的时候，你会感觉痛。	痛
你兴奋的时候会跳起来。	跳
吃冰块的时候，你会感觉冷。	冷
吃口香糖的时候，你会嚼口香糖。	嚼
饿的时候，可能会吃宵夜。	饿
如果吃很多东西，你会胖。	胖
吃面的时候，你会用嘴吸面条。	吸
吃苹果的时候，你会用牙咬苹果。	咬
吃饱的时候，你会感到肚子撑。	撑
你感到热的时候可能会吹电扇。	热
肚子咕咕叫可能代表饿。	饿
哈士奇是一种狗。	狗
在沙漠里你会感到热。	热
由于胖，你会克制饮食。	胖
由于胖，你会减肥。	胖
饿的时候，你会吃便当。	饿
饿的时候，你会吃包子。	饿
由于胖，你会少吃点。	胖
哭的时候，你会掉眼泪。	哭
你的眼泪会流在脸上。	脸
你会走在路上。	路
你会躺在家中的床上。	家
在不开心时，你可能会哭。	哭
在伤心时，你可能会哭。	哭
在便利商店，你可能会买东西。	买
你会在儿童乐园里玩。	玩
在北极，你会感到冷。	冷
在单身派对，你会感觉很爽。	爽
在南极，你会感到冷。	冷
在厨房，你会感到热。	热
在吃冰，你会感觉很爽。	爽
在夏天，你会感到热。	热
在大便时，你会感觉很爽。	爽
在太阳上，你会感到热。	热
在放屁时，你会感到爽。	爽
在淹水时，你会往下沉。	沉
在滑倒时，你会感到痛。	痛
在生理期时，你会感到痛。	痛
在电影院，你会看电影。	看
在老妈生气时，你会变乖。	乖
大便的时候，你会感到臭。	臭
天黑的表现是暗。	暗
打电话的时候，你会说喂。	喂
拿起话筒的时候，你会说喂。	喂
有人放屁可能有臭味。	臭
热的时候会流汗。	热
淋雨的时候，你会感到冷。	冷
看到废文的时候，你会发出嘘声。	嘘
考一百分的时候，你会感到爽。	爽
被电到的时候，你会感到麻。	麻
跌倒可能会痛。	痛
飞上天的时候，你会感到爽。	爽
钱在保管箱里。	钱
书夹在腋下。	书
人有失足的时候。	人
家里安全。	家
人有悲伤的情绪。	人
山里有森林。	山
水由氢原子和氧原子组成。	水
海里有珊瑚。	海
书里有色情。	书
海里有螃蟹。	海
床上有被单。	床
家是避风港。	家
海里有鲨鱼。	海
你可以在店里找到xo酱。	店
你可以在店里找到亲子丼。	店
你可以在树上找到叶子。	树
你可以在海里找到大白鲨。	海
你可以在河里找到小水草。	河
你可以在河里找到小石子。	河
你可以在脚上找到指甲。	脚
你可以在家里找到指甲剪。	家
你可以在树上找到昆虫。	树
你可以在树上找到果实。	树
你可以在路边找到树木。	路
你可以在海里找到沙丁鱼。	海
你可以在海里找到鲨鱼。	海
你可以在海里找到浮游生物。	海
你可以在海里找到热带鱼。	海
你可以在天上找到白云。	天
你可以在庙里找到神像。	庙
你可以在庙里找到纸钱。	庙
你可以在腿上找到肌肉。	腿
你可以在田里找到花生。	田
你可以在庙里找到香灰。	庙
你可以在庙里找到香炉。	庙
你可以在兔子身上找到毛。	毛
你可以在包子里找到肉。	肉
你可以在吉他上找到弦。	弦
你可以在周星驰电影里找到梗。	梗
你可以在坟墓里找到鬼。	鬼
你可以在培根里看到油。	油
你可以在天上找到云。	云
你可以在奖状上找到字。	字
你可以在小提琴上找到弦。	弦
你可以在小鸡身上找到喙。	喙
你可以在尸体上找到蛆。	蛆
你可以在庙里找到香。	香
你可以在康熙中找到梗。	梗
你可以在捐血活动中看到针。	针
你可以在柠檬里找到籽。	籽
你可以在洗手台看到水。	水
你可以在洗手间看到水。	水
你可以在浴室看到水。	水
你可以在狼牙棒上找到刺。	刺
你可以在胡椒饼里找到肉。	肉
你可以在腐烂的食物里找到蛆。	蛆
你可以在自助餐里找到菜。	菜
你可以在视讯里看到人。	人
你可以在酱料里找到醋。	醋
你可以通过门牌号码找到家。	家
墙上有画。	画
大气层在天上。	天
太阳在天上。	天
山上有草。	草
工作就会有钱。	钱
建议售价在书后。	书
在户外开车。	户
抽筋很痛。	痛
拉屎有臭味。	臭
拖鞋穿在脚上。	脚
木星在天上。	天
松鼠住在树上。	树
水母在海里。	海
汽车是铁做的。	铁
烟灰缸在桌上。	桌
滑梯在户外。	户
在野外狩猎。	野
秋千在户外。	户
在家里睡觉。	家
肚子上有肉。	肉
袜子在脚上。	脚
在郊外踏青。	郊
在郊外野餐。	郊
铁达尼是船。	船
云在天上。	天
鸟巢在树上。	树
猫喜欢喵喵叫。	猫
猫很慵懒。	猫
猫总是懒洋洋的。	猫
车需要汽油。	车
球会滚动。	球
书需要被好好保存。	书
狗被喜欢被主人摸头。	狗
鸟会飞。	鸟
鸟会飞行。	鸟
猫喜欢捉老鼠。	猫
狗惧怕被主人遗弃。	狗
狗可能会乱吠。	狗
猫可能会发情。	猫
猫喜欢吃鱼。	猫
狗会吠。	狗
狗会吠叫。	狗
狗喜欢啃骨头。	狗
猫会喵喵叫。	猫
钱会被存在银行。	钱
猫喜欢玩毛线球。	猫
开店时希望生意兴隆。	店
鸟会筑巢。	鸟
鸡会下蛋。	鸡
人会想要赚钱。	钱
钱会被花掉。	钱
买东西需要钱。	钱
买手机需要钱。	钱
买水果需要钱。	钱
买点数需要钱。	钱
买电脑需要钱。	钱
买鸡饲料需要钱。	钱
交女朋友需要钱。	钱
做生意想要钱。	钱
做生意的人想要钱。	钱
偶像想要变红。	红
分手时会哭。	哭
吃安眠药时会更容易睡。	睡
啄木鸟喜欢吃虫。	虫
四川难民惧怕地震。	震
失恋会哭。	哭
头皮会痒。	痒
小偷想要偷钱。	钱
小鱼需要水。	水
开心时可能想要笑。	笑
开心的时候可能喜欢笑。	笑
猫喜欢抓老鼠。	猫
李白喜欢写诗。	诗
汽油桶遇到火会爆炸。	火
流汗时想要喝水。	喝
海鸥会飞。	飞
游子想要回家。	家
想要看电影。	看
疲倦的人想要睡。	睡
疲劳的时候想要睡。	睡
痛苦的时候想要哭。	哭
眼皮会跳。	跳
累的时候想要睡。	睡
缺水想要喝水。	喝
诈骗集团想要骗钱。	钱
被责骂时可能会哭。	哭
赌博是想要赢钱。	钱
赌徒想要赢钱。	钱
赌鬼想要赢钱。	钱
跑路需要钱。	钱
逛街想要买东西。	买
狗喜欢吃骨头。	狗
高兴时可能想要笑。	笑
鱼儿生存需要水。	水
鸟儿喜欢吃虫。	虫
纸可以用来写信。	纸
画可以拿来装饰墙壁。	画
水可以汇聚成小河。	水
水可以汇聚成小溪。	水
教科书是用纸做的。	纸
云像棉花糖。	云
做甜品一定需要糖。	糖
书中有知识。	书
笔记本是用纸做的。	纸
考卷是用纸做的。	纸
讲义稿件是用纸做的。	纸
米可以拿来做成麻薯。	米
水由O离子和H离子构成。	水
书可以用一叠纸制成。	书
下雨带来水。	水
水由一个O离子和两个H离子构成。	水
猫有九条命。	猫
雨在云朵中形成。	雨
冰会融化成水。	水
书可以印刷制成。	书
榻榻米是一种床。	床
书中有学问。	书
蛋会孵出小鸡。	蛋
船上有帆。	船
书中有很多字。	书
抗生素是一种药。	药
书中有很多文字。	书
书中有智慧。	书
木柴燃烧产生火。	火
母鸡会下蛋。	蛋
蛇有毒液。	蛇
雨由下落的水滴组成。	雨
河由水组成。	水
眼泪由水组成。	水
海由水组成。	水
湖由水组成。	水
雨由热空气液化产生。	雨
书中有理论知识。	书
瓦斯炉燃烧产生火。	火
眼中有瞳孔。	眼
米可以用稻子制成。	米
蒸汽可以液化成水。	水
水可以被蒸馏。	水
冰融化成水。	水
衣服可以由布制成。	布
酸碱反应生成水。	水
钻木可以产生火。	火
阿司匹林是一种药。	药
雨由水形成。	水
雾由水形成。	水
水由两个O离子和一个H离子构成。	水
水的分子式是H₂O 。	水
人字由一撇一捺组成。	人
冰块会化成水。	水
云由冰晶和小水滴组成。	云
书由出版社出版。	书
书由印刷厂制造。	书
可燃物会引起火。	火
字由墨水写成。	字
好茶离不开好的泉水。	茶
风由对流形成。	风
狗这种动物代表忠诚。	狗
易燃物会引起火。	火
人这种生物有智慧。	人
纸由树木磨成浆制成。	纸
风由气压差形成。	风
水可以由氢气和氧气制成。	水
海可以容纳百川。	海
树干由维管束组成。	树
雾气由水形成。	水
树由韧皮部组成。	树
风由空气运动形成。	风
盐的主要化学原料是氯化钠。	盐
盐主要提取自海。	盐
交个人综合所得税需要钱。	钱
云朵由水和冰晶组成。	水
人体中含有大量的水。	水
交保险费需要钱。	钱
冰沙由水制成。	水
冰雪由水形成。	水
大学由院和系组成。	系
太阳能可以用来发电。	电
太阳能由光产生。	光
女人的身体含有很多水。	水
小抄一般写在纸上。	纸
小说写在书中。	书
居留证的材质是纸。	纸
布偶可以用线缝制。	线
幸福由心产生。	心
彩券的材质是纸。	纸
雨后可能有彩虹。	雨
想念由心产生。	心
感情由心产生。	心
房屋可以用砖砌成。	砖
护照的材质是纸。	纸
拜拜可以用手完成。	手
权力常常意味着有钱。	钱
水分子由氧元素和氢元素组成。	氧
水晶的主要化学成分是硅。	硅
水果大多长在树上。	树
法拉利是用钱买来的。	钱
泡面需要水。	水
海洋由水组成。	水
瀑布由水组成。	水
火柴主要由磷制成。	磷
爱心捐款需要钱。	钱
理财需要钱。	钱
交电费需要钱。	钱
睡觉离不开床。	床
红烧狮子头可以用猪肉制成。	肉
交综合所得税需要钱。	钱
考卷是用纸制成的。	纸
背包是用布制成的。	布
用盐来腌萝卜。	盐
用盐来腌黄瓜。	盐
花瓶可以用土烧制而成。	土
荷包可以用布制成。	布
菜刀的材质是钢。	钢
蔚蓝的海里有海水。	水
蛋包饭里的主食是米。	米
衣架的材质是铁。	铁
西瓜刀的材质是铁。	铁
课本由纸装订成册。	纸
貂皮大衣是用貂的毛制成。	毛
钱是财富的象征。	钱
人体主要由水构成。	水
车票的材质是纸。	纸
酱油可以拿来做菜调味。	菜
醋酸由米酿制而成。	米
金刚石是由碳元素构成的。	碳
金融的本质是钱的融通。	钱
钥匙可以用铁制成。	铁
钻石戒指的主要成分是碳元素。	碳
钻石的主要成分是碳元素。	碳
雨滴是水的一种形态。	水
餐券是用纸制作而成的。	纸
马克杯是用瓷制成的。	瓷
魔戒是用银制成的。	银
鱼网用绳编织而成。	绳
虫可以用来做鱼饵。	虫
饿的时候会吃东西。	饿
狗因为喜欢会摇尾巴。	狗
狗饿了会找骨头吃。	狗
家是可以带来温暖的地方。	家
水可以灌溉植物。	水
看悲剧的时候会哭。	哭
书中蕴藏着知识。	书
钱是用来花的。	钱
水是用来喝的。	水
车可以让人行动方便。	车
路的作用是联络交通。	路
路的作用是通行。	路
伞可以用来遮阳光。	伞
伞可以用来遮雨。	伞
狗见到陌生人会叫。	狗
饿的时候会想去餐厅。	饿
饿的时候会想要下馆子。	饿
