吸	基本义	吸收	一个常见的汉字使用频率较高基本义为吸收。
撮	字义	取、摘取	基本字义：取、摘取；用手指捏取细碎的东西；量词；中国市制容量单位，一升的千分之一；撮东西用的器具；聚起，多指用簸箕状的器具铲起东西。
擢	造字法	形声	拼音：zhuó注音：ㄓㄨㄛˇ繁体字：擢汉字结构：左右结构造字法：形声简体部首：扌部首笔画：3总笔画：17笔顺：横竖横折捺横折捺横撇竖捺横横横竖横。
垟	造字法	羊声	声母：y字头：垟造字法：形声；从土、羊声四笔号码：7187五笔：fudh注音：yáng摘要：yang笔画：09画部首画：03部首：土部结构：左右结构。
擥	意思	一把抓、上来	擥，同“揽”。有总揽，一把抓、上来等意思。
鞜	意思	鼓声	鞜是一个字，基本意思是皮鞋，鼓声。
围	常见意义	四周拦挡起来	围，有多种解释，常见意义为，环绕，四周拦挡起来；圈起来作拦阻或遮挡的东西。
屈	用法	名词、动词	屈基本含义是使弯曲，与伸相对，也有竭，穷尽的意思，也可作姓氏。有名词、动词，形容词等用法。
怏	含义	不服气	怏（yàng）的含义有两种。1、不服气，不满意：～～不乐（形容不满意的神情）。
愚	本义	性格孤僻	愚，本义：性格孤僻，不谙熟人情世事。
润	本义	雨水下流	本义：雨水下流，滋润万物。
竭	本义	举重	竭(形声。字从立，从曷，曷亦声。“曷”意为“胸部”、“胸部起伏”。“立”指“站起来”。“立”与“曷”联合起来表示“身负重物站立起来”。本义：举重、负重。
戎	基本解释	武器	戎，汉字。拼音：róng，笔画6笔。基本解释为：兵器，武器，军队，军事。
炯	解释	炯然	读音：jiǒng解释：明亮、炯然部首：火部部外笔画：5总笔画数：9。
锾	解释	钱币	锾，汉字，读作huan，解释为古代重量单位、钱币等。
汾	基本字义	在中国山西省	字形字义汾Fénfén基本信息部首：氵部外笔画：4总笔画：7五笔86:IWVN五笔98:IWVT仓颉:ECSH郑码:VOYD笔顺编号:4413453四角号码：38127UniCode:CJK统一汉字U+6C7E基本字义fénㄈㄣˊ〔～河〕水名，在中国山西省。
粽	又叫	角黍	又叫角黍，俗称粽子。
胆	功能	贮存和排泄胆汁	主要功能为贮存和排泄胆汁，并参与饮食物的消化。
